Date,Open,High,Low,Close,Adj Close,Volume
1962-01-01,7.374124,7.374124,7.125558,7.138305,1.523128,1372875
1962-01-08,7.131931,7.240280,6.947100,7.189293,1.534007,2204445
1962-01-15,7.214786,7.237094,6.972594,7.055449,1.505449,1788660
1962-01-22,7.055449,7.125558,6.896112,6.899299,1.472131,1710210
1962-01-29,6.899299,7.112811,6.695347,7.112811,1.517688,3396885
1962-02-05,7.112811,7.112811,6.985341,7.093690,1.513608,1349340
1962-02-12,7.093690,7.151052,6.940727,6.940727,1.481171,1270890
1962-02-19,6.940727,6.972594,6.822817,6.845124,1.460769,1294425
1962-02-26,6.845124,7.023582,6.781389,6.985341,1.490692,1521930
1962-03-05,6.985341,7.049076,6.934353,7.049076,1.504294,1208130
1962-03-12,7.049076,7.068196,7.010835,7.042702,1.502933,1074765
1962-03-19,7.055449,7.087317,6.947100,6.972594,1.487972,1286580
1962-03-26,6.972594,6.998088,6.759082,6.790950,1.449209,1561155
1962-04-02,6.787763,6.787763,6.462715,6.634799,1.415885,3443955
1962-04-09,6.634799,6.717655,6.500956,6.602932,1.409085,1937715
1962-04-16,6.602932,6.685787,6.526450,6.615679,1.411806,1702365
1962-04-23,6.615679,6.650733,6.118547,6.188655,1.320677,3977415
1962-04-30,6.188655,6.246017,5.481198,6.195029,1.322038,12936405
1962-05-07,6.195029,6.242830,5.659656,5.685150,1.213228,7617495
1962-05-14,5.685150,5.901848,5.586361,5.755258,1.228383,7335075
1962-05-21,5.755258,5.755258,4.945825,5.079669,1.084187,13344345
1962-05-28,5.060548,5.098789,4.525175,4.907584,1.047458,15407580
1962-06-04,4.843850,4.843850,4.499681,4.732314,1.010049,10731960
1962-06-11,4.732314,4.741874,3.824092,4.251115,0.907343,22930935
1962-06-18,4.251115,4.369025,3.957935,4.079031,0.870615,17808150
1962-06-25,4.079031,4.442320,4.021670,4.324410,0.922987,17682630
1962-07-02,4.324410,4.509242,4.314850,4.397706,0.938631,7978365
1962-07-09,4.397706,4.968133,4.346718,4.796048,1.023653,14293590
1962-07-16,4.796048,4.901211,4.614404,4.741874,1.012090,9084510
1962-07-23,4.741874,4.805609,4.572976,4.791268,1.022631,5773920
1962-07-30,4.821542,5.015934,4.796048,4.907584,1.047458,9719955
1962-08-06,4.907584,4.926705,4.722753,4.789675,1.022292,11908710
