Date,Open,High,Low,Close,Adj Close,Volume
1962-02-01,6.978967,7.151052,6.781389,6.845124,1.460571,6087720
1962-03-01,6.870618,7.087317,6.759082,6.790950,1.449209,5687625
1962-04-01,6.787763,6.787763,5.736138,5.787126,1.234990,13516935
1962-05-01,5.787126,6.242830,4.525175,5.003187,1.067695,51659325
1962-06-01,4.984066,4.984066,3.824092,4.324410,0.922988,71679765
1962-07-01,4.324410,5.015934,4.314850,4.933078,1.052900,43014135
1962-08-01,4.920331,5.286807,4.722753,5.050988,1.078066,43351470
1962-09-01,5.050988,5.117909,4.442320,4.506055,0.961947,34800420
1962-10-01,4.506055,4.738687,4.104525,4.410453,0.941537,45014610
1962-11-01,4.410453,5.121096,4.359465,5.079669,1.084401,38424810
1962-12-01,5.028681,5.175271,4.862970,4.971319,1.061494,22978005
1963-01-01,4.971319,5.411090,4.898024,5.401530,1.153355,29920830
1963-02-01,5.401530,5.415870,5.086042,5.095602,1.088032,13854270
1963-03-01,5.095602,5.395156,5.063735,5.366475,1.146141,12771660
1963-04-01,5.366475,6.048438,5.321861,5.911409,1.262526,19118265
1963-05-01,5.911409,6.099426,5.831740,6.083493,1.299279,11987160
1963-06-01,6.083493,6.102613,5.506692,5.560867,1.187918,13516935
1963-07-01,5.560867,5.710644,5.420650,5.538560,1.183153,17596335
1963-08-01,5.538560,5.857234,5.481198,5.669216,1.211064,14591700
1963-09-01,5.677183,5.978330,5.677183,5.761632,1.231086,19008435
1963-10-01,5.761632,6.395793,5.717017,6.297004,1.345480,25629615
1963-11-01,6.297004,6.319312,5.876354,6.185468,1.321649,13140375
1963-12-01,6.220523,6.494583,6.035692,6.462715,1.381241,13697370
1964-01-01,6.500956,7.227533,6.469089,6.908859,1.476592,23401635
1964-02-01,6.908859,7.348630,6.806883,7.253027,1.550150,11900865
1964-03-01,7.253027,7.578075,7.087317,7.574888,1.619314,12340185
1964-04-01,7.584449,7.667304,7.268961,7.268961,1.553914,13446330
1964-05-01,7.278521,7.871256,7.278521,7.648184,1.634982,11055174
1964-06-01,7.648184,7.703952,7.345443,7.600382,1.625178,9049992
1964-07-01,7.628266,7.839388,7.329509,7.361377,1.574070,9734076
1964-08-01,7.361377,7.361377,6.779796,7.018802,1.500819,12112680
1964-09-01,7.018802,7.106437,6.564691,6.955067,1.487595,12382548
1964-10-01,6.955067,6.955067,6.612492,6.692161,1.431363,7970520
1964-11-01,6.688177,6.923199,6.572658,6.572658,1.405803,8886816
1964-12-01,6.556724,6.660293,6.485022,6.524857,1.395995,8792676
1965-01-01,6.524857,7.170172,6.437221,7.146272,1.528946,11842812
1965-02-01,7.130338,7.283700,6.771829,7.261791,1.553661,8334528
