Date,Open,High,Low,Close,Adj Close,Volume
2010-07-01,1.666667,1.728000,0.998667,1.329333,1.329333,968637000
2010-08-01,1.366667,1.478667,1.159333,1.298667,1.298667,225573000
2010-09-01,1.308000,1.544000,1.300000,1.360667,1.360667,270688500
